drive id,wheel_velocity1,wheel_velocity2,wheel_current1,wheel_current2,pivot_angle,pivot_velocity,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z
0,5E-06,0.007842,0.092335,-0.045324,1.550028,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.527366,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.551861,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.573709,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.550016,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.52739,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.551861,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.573709,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.549788,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.52739,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.551646,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.573709,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.548398,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.528204,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.551838,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.573469,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.545773,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.528768,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.552628,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.573972,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.542118,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.528816,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.555049,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.57444,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.540464,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.528456,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.556535,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.574643,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.541339,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.527965,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.556943,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.574775,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.543305,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.527162,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.556751,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.575267,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.544814,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.526167,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.557997,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.576729,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.543616,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.525089,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.560155,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.57915,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.541411,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.523926,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.562444,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.582673,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.540884,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.522057,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.565224,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.587503,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.541746,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.519336,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.569634,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.594597,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.54358,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.515094,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.575339,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
3,2E-06,-0.003107,0.019224,0.123286,1.603681,-0.000431,0.022371,0.013848,-0.027697,0.249082,-0.03832,9.608819
0,5E-06,0.007842,0.092335,-0.045324,1.54533,0.000184,-0.062851,-0.002131,-0.030893,0.105381,0.143701,-0.0479
1,0.007842,-8.2E-05,-0.045324,-0.035783,1.509413,0.000114,-0.002131,-0.030893,0.022371,0.143701,-0.0479,0.249082
2,-8.2E-05,2E-06,-0.035783,0.019224,1.581762,0.001905,-0.030893,0.022371,0.013848,-0.0479,0.249082,-0.03832
